Twitter Username,Post,Date Posted
@00000q7,"Don’t read too deep about it. Most malays reject BN lead by Zahid, they won’t vote for PH because of DAP. So the only choice they have PN.","Dec 2, 2022"
@00000q7,"Good. But we’ll be more happy if you can reject umno court cluster in your cabinet especially Zahid. Be careful, we’re ","Nov 28, 2022"
@0002ris,"There are reasons why Zahid Hamidi became TPM and there are reasons why there are 2 TPM. Because once that one goes to prison, the other one cover the job. Isn’t it? #CabinetDecisions","Dec 3, 2022"
@1Kesidang,I like the idea. But I need to know what is DSAI stand on Zahid Hamidi 47 pending cases. Theoretically ZH will not give his support for free. I need this clarity,"Nov 23, 2022"
@1negara1,"Because they signed SDs supporting Muhyiddin without party's consent. Alright. For u, Zahid supporting Anwar is wrong but BN MP supporting Muhyiddin is right. Now I get u.","Nov 23, 2022"
@1negara1,I'm not any political party supporter but I believe PH supporters love our country so much that they r willing to set aside their anger & hatred towards Zahid & Umno in order to save our country fr racists & religious bigots unlike some SOBs who only care bout personal gains.,"Nov 21, 2022"
@1negara1,"To Anwar, as long as Zahid, the Chairman of BN agrees, it's a done deal.  PH+BN = 112","Nov 23, 2022"
@21badiuzzaman,"Jebat, I beg to differ. While PH coalition decide to campaign against BN n PN. At the same time, Anwar went behind PH back to make arrangement with Zahid way before PRU. That audio leak was way before PRU yang dia deny cakap lebai berjubah n Tum M fitnah terbukti benar ","Nov 30, 2022"
@21badiuzzaman,Not PH supporters backing up the appointment of Zahid Hamidi way even more than UMNO supporters ,"Dec 3, 2022"
@22blueblouse,@twt_ganja if zahid tak jd tpm this  19/12 or June 2023 after pau our government akan collapse balik because mael or hishamudin will make other bn members tarik sokongan keatas anwar. by then we can say hi to yiddin as PM and hadi/ mael sabri as DPM lmao back to square one,"Dec 3, 2022"
@22ncc520,"I think Zahid is brilliant, most suitable for UMNO. Sabri is a stupid Moo’s puppet, Hishamuddin is a brainless zapper, kJ is a sore loser, and Tok Mat is an impatient pretender. Hope none of them gets a cabinet position","Nov 25, 2022"
@23Potteh,"I think he definitely will get something, but don’t know whether UMNO will block him, since Zahid don’t like him",May 26
@2daMoonz,"Once Zahid is no longer UMNO president, then this pact will jatuh... Hahahaha",Jan 16
@2daMoonz,Ramesh Rao being dead is a real red flag to me. And Zahid suddenly changing tune. Perhaps UMNO as a whole is a victim to some powerful bidder. Qustion is is it even done by the locals? Or could it be sth bigger like freemason... If my interpretation is correct...,Jan 15
@2daMoonz,That's why Zahid chose PH. Bcs with PN they'll be swallowed whole. Even within BN there's PN faction. Skrg masa mkn popcorn and enjoy the show. My guess if everthibg goes well Najib and Zahid will be a free man this coming year. And Anwar can't do anything about that.,Jan 5
@2daMoonz,Zahid will be free along with Najib. But for that to happen PN needs to become formidable contender to PH. May 92.5 billion scdal doesn't taint PN bcs its in UMNO's best interest that PH coalition be shaky so that they are desperate to restore Malay's trust by releasing Najib.,Jan 16
