Twitter Username,Post,Date Posted
@07ysh_,"#NotMyPM Muhyiddin should not be my PM.
My PM should be Anwar.

#GE15","Nov 20, 2022"
@0yenNatun,#KerajaanGagal is trending again huh,"Nov 9, 2022"
@1004MKL,i know the flood we’ve been hit with is a natural disaster or an act of God but i’m blaming all the sufferings of the people on this incompetent government. #KerajaanGagal,"Dec 19, 2021"
@1154christopher,It’s flooding everywhere but our government is more concerned about concerts. #KerajaanGagal,"Oct 10, 2022"
@1GiantLeapKL,Only in Malaysia you get a convicted criminal as guest of honour & delivered the keynote address at a business forum. #KerajaanGagal,"Dec 28, 2021"
@1Kai_Zi1,"My heart aches to see my timeline today, but I’m also boiling with anger at those idiots with power. I can only pray that everyone is safe and everything will be okay soon. Stay strong everyone. 

#KerajaanGagal #KerajaanGagalLagi","Dec 19, 2021"
@1Kai_Zi1,"To all Malaysians, we must know that we are definitely united. If there are some people and politicians that say otherwise, show them the middle finger and walk away. Cause it’s these bunches of idiots that wants us separated. So that we won’t see their failures. #KerajaanGagal","Dec 20, 2021"
@22blueblouse,eh #kerajaangagal dah trending lol #pru15 #ge15,"Nov 20, 2022"
@22blueblouse,"only for you, PN breed lmao. yiddin = #KerajaanGagal ","Nov 23, 2022"
@22blueblouse,welcome back  #KerajaanGagal haha,"Nov 20, 2022"
@23Potteh,asked #KerajaanGagal #KerajaanKayu,"May 20, 2022"
@23Potteh,"don’t worry about me cause i’m out already, demo lah nanti menghadap #KerajaanGagal","Nov 7, 2022"
@3da_nash,"Believe me, if it's d other way round (#PN wins more seats than #PH), they wud've elected themselves as govt even w/out waiting for #Agong's approval. This is #backdoorgovernment all over again! Uggghhhh!  #SayNoToKerajaanGagal #KerajaanGagal #HungParliament #DSAIPM10","Nov 21, 2022"
@3da_nash,"Both Ismail BN n Mahiaddin PN were in that #KerajaanGagal n not #DSAI4PM10. All I asked is give #DSAI a chance even if it means UMNO will be in d govt (heck,either way they’re gonna be in d govt if numbers r all everyone cares abt so we’re really stupid if we can’t see past that)","Nov 22, 2022"
@4cer4pp,#IsmailSabri i don't know what function you are #KerajaanGagal,"Dec 20, 2021"
@4lixh0,"And what the government do?. Nothing .
All it does is make an announcement and then it goes away.
#KerajaanGagal","Dec 19, 2021"
@520won,"Cant believe we are getting the same fking incompetent government after 2 years+ of struggle with the pandemic, lock downs, floods, etc. Deeply heartbroken. 

#KerajaanGagal #notmypm","Nov 20, 2022"
@5idzry,another #KerajaanGagal and increased new daily cases,"Aug 27, 2021"
@5t3Vanz,Gloomy day ahead for Malaysia if #KerajaanGagal 2.0 come in to power. Come #pru15 we must kick out all the katak and useless politician out. #KitaJagaKita,"Aug 18, 2021"
@72_oranges,"So far Malaysia has:
-forcibly closed businesses
-failed to handle a pandemic
-seen a major uptick in unemployment
-lack of job security due to rise of gig economy
-inexplicable politicking

i'm just saying, history has seen civil rebellion over less.

#KerajaanGagal","Aug 18, 2021"
@AAAbrahamTan,"If someone like Ismail Sabri can become Prime Minister, I think I have a chance to become Prime Minister too and probably do a better job #KerajaanGagal","Aug 20, 2021"
@AMAL1EN,it’s #KerajaanGagal again..,"Nov 20, 2022"
@AMUBAIDAHS,"Of course if @chedetofficial was Chairman of MPN, I wouldn't object as he wasn't part of #KerajaanGagal .. however, truly doubt @MuhyiddinYassin wld appoint him as it wld hv bn admitting to his shortcomings..

A better leader may have done so regardless for the sake of the ppl..","Oct 16, 2021"
@AMUBAIDAHS,"Our duty as opposition during crisis is to be an effective check & balance. The fall of @MuhyiddinYassin's #kerajaangagal proves we can play a role..

@PejuangRasmi will continue to do so..

We keep faith in the Rakyat rather than an MOU w those who usurped the Rakyat's vote

5/5","Sep 20, 2021"
@ANNEcantbereal,"I try to husnodzon but the same people??? Are they capable of doing better things? ARE THEY??? ITS THE SAME PEOPLE DUDE!

Another day, another #KerajaanGagal . This time, it's 2.0","Aug 27, 2021"
