Twitter Username,Post,Date Posted
@003sani,"Do you believe Najib, the Prime Minister, absconded the money from 1MDB? I think a lot of you do, and that's where the chaos began in our country.","Nov 8, 2021"
@003sani,"Do you believe Najib, the Prime Minister, absconded the money from 1MDB? I think a lot of you do, and that's where the chaos began in our country.
A member of DAP from Kepong said that he read the 1MDB report several times, and he didn't find anything positive against Najib.","Nov 16, 2021"
@003sani,"Dr Mahathir was frustrated and started to slander Najib. First, he accused Najib of stealing money from 1MDB. Then, he framed up Najib for killing the Mongolian Beauty. Finally, he rallied the political parties to his side.","Nov 16, 2021"
@003sani,"decision of not guilty in Najib's 1MDB case. Tommy wrote the book with realising that he condemned his boss; just like Dr Mahathir, who suddenly resigned his Premiership; and realised it later.  So, both Tommy and Dr Mahathir suffered the repercussion of the Devil's swearing.","Feb 7, 2021"
@0xkryptojimi,"wrong again as per usual, Najib bribed them all, and they know they have 1mdb money in their bank account.",Apr 17
@127_fareez,But still there are people saying 1mdb scandal was created to pull Najib down. no he pulled himself. ,"Feb 23, 2022"
@1AmyChew,"2.“If I didn’t buy her a house, she would tell the authorities about my involvement in the #1MDB scandal. She was threatening to expose me. At the time, 2013, I was very fearful of that,”#GoldmanSach's Leissner on his ex lover Rohana Rozhan, ex CEO of Astro.","Feb 23, 2022"
@1AmyChew,"According to investigators, Najib later returned US$620 million of #1MDB funds.

Najib claimed it went back to his ""Arab donors"", but investigators say it was instead returned to accounts controlled by #JhoLow.","Mar 15, 2022"
@1mdbpetition,Faisal al Sabah and Nasir al Tayar are Members of the Kuwaiti intelligence services who were head of the investigation for the #1MDB scandal in Kuwait. They stood up against Kuwait’s implication in stealing Malaysian public funds of $6billion+.,"Jun 14, 2022"
@1mran2uah,"It’s not him letting Najib adjourn his 1MDB trial. Could be misleading. It lies on defence counsel arguments which makes the judge to act such as adjourned it. But if you follow up the chronologies, Judge Collin is always furious at Najib’s absence and displeased with his no show","Sep 5, 2021"
@1rmf5,"I know full well the charges...and when did I say ""Najib is charged becos AMB didn't raise STR""?

funny how lugzan CLAIMS ""ITS DONE"" kannnnnnn","Feb 1, 2021"
@1rmf5,"becos no STR was raised so why did Najib have to be charged?

simple isn't it?","Feb 1, 2021"
