Twitter Username,Post,Date Posted
@0yenNatun,It’s #RakyatJagaRakyat world we’re living in. Keluarga Malaysia my ass,"Dec 19, 2021"
@1004MKL,i know the flood we’ve been hit with is a natural disaster or an act of God but i’m blaming all the sufferings of the people on this incompetent government. #KerajaanGagal,"Dec 19, 2021"
@10086yearlurker,There are hands playing dirty ended/ reported all tonight #DaruratBanjir #RakyatJagaRakyat space session,"Dec 20, 2021"
@1154christopher,It’s flooding everywhere but our government is more concerned about concerts. #KerajaanGagal,"Oct 10, 2022"
@1GiantLeapKL,Only in Malaysia you get a convicted criminal as guest of honour & delivered the keynote address at a business forum. #KerajaanGagal,"Dec 28, 2021"
@1Kai_Zi1,"My heart aches to see my timeline today, but I’m also boiling with anger at those idiots with power. I can only pray that everyone is safe and everything will be okay soon. Stay strong everyone. 

#KerajaanGagal #KerajaanGagalLagi","Dec 19, 2021"
@1Kai_Zi1,"To all Malaysians, we must know that we are definitely united. If there are some people and politicians that say otherwise, show them the middle finger and walk away. Cause it’s these bunches of idiots that wants us separated. So that we won’t see their failures. #KerajaanGagal","Dec 20, 2021"
@23Potteh,asked #KerajaanGagal #KerajaanKayu,"May 20, 2022"
@23Potteh,people automatically wanna leave the country under #KerajaanGagal,"May 25, 2022"
@23Potteh,"they are all part of #KerajaanGagal and #KerajaanSheraton part of pengkhianat mandat rakyat, so what to expect ","Dec 18, 2021"
@3010luv,"#RakyatJagaRakyat
Everyone dont forget to charge your phone and powerbank incase there’s no electricity!! Jangan keluar rumah dan redah sebab ada tiang elektrik bahaya!! Stay safe everyone may Allah ease everything.","Dec 19, 2021"
@3010luv,"People are dying right infront of our eyes but the government still keep their eyes close sampai mampus pun lah sial. Tua tua semua takde guna
#RakyatJagaRakyat #RakyatTolongRakyat","Dec 19, 2021"
@36angstroms,so can we all agree that all ruling parties won't do jack shit during disasters and people have to rely on the neighbors? #RakyatJagaRakyat,"Dec 20, 2021"
@4cer4pp,#IsmailSabri i don't know what function you are #KerajaanGagal,"Dec 20, 2021"
@4lixh0,"And what the government do?. Nothing .
All it does is make an announcement and then it goes away.
#KerajaanGagal","Dec 19, 2021"
@5idzry,another #KerajaanGagal and increased new daily cases,"Aug 27, 2021"
@79zihadda,"#Malaysia is a independent country!

without the government though, we only have each other back ! 

#RakyatJagaRakyat #KitaJagaKita","Dec 21, 2021"
@7PurpleSouls,"I feel so helpless seeing all those people & animals in need of help desperately but I can't even leave my own house coz everywhere in Shah Alam is flooded
Ya Allah please help them all 
#BanjirDarurat #RakyatJagaRakyat #KerajaanLEMBAB","Dec 19, 2021"
@AAAbrahamTan,"If someone like Ismail Sabri can become Prime Minister, I think I have a chance to become Prime Minister too and probably do a better job #KerajaanGagal","Aug 20, 2021"
@AMEERlCANO,"#RakyatJagaRakyat , always","Dec 20, 2021"
@AMUBAIDAHS,"Our duty as opposition during crisis is to be an effective check & balance. The fall of @MuhyiddinYassin's #kerajaangagal proves we can play a role..

@PejuangRasmi will continue to do so..

We keep faith in the Rakyat rather than an MOU w those who usurped the Rakyat's vote

5/5","Sep 20, 2021"
@ANNEcantbereal,"I try to husnodzon but the same people??? Are they capable of doing better things? ARE THEY??? ITS THE SAME PEOPLE DUDE!

Another day, another #KerajaanGagal . This time, it's 2.0","Aug 27, 2021"
@ANNEcantbereal,"marah, sedih, kecewa.

The saddest thing is I know I'm not the only one with these emotions. Stay safe everyone. We only got ourselves after all.

 #KerajaanGagal","Aug 27, 2021"
@A_Hxrrxz,"Also, did you realise when #KerajaanGagal was trending, Mahiaddin couldn’t care less? When #KerajaanDerhaka was trending, he himself felt the need to clarify publicly that his government was not derhaka. That speaks volumes about the “derhaka” concept.","Sep 5, 2021"
@A_Hxrrxz,"Guys, I think instead of using #KerajaanGagal, we should start hijacking #cjbulankedua to air our anger and frustration with this government’s inaction.","Dec 18, 2021"
@A_Hxrrxz,So it’s #KerajaanGagal all over again? Why am I not surprised???,"Aug 27, 2021"
@AaronLloyd77red,"""lockdown"" working very well eh.. 3 mths and counting #KerajaanGagal","Aug 20, 2021"
@AaronLloyd77red,I also hoped that you would just resign #kerajaangagal,"Dec 19, 2021"
@AbdMydin,"I pray that the HIBISCUS loses. Anyone who chooses maintaining STATUS QUO in Malaysia deserve to LOSE
#KerajaanGagal 
#AyuhMalaysia","Jun 13, 2022"
@AbdMydin,"If we don't get rid of the mess which is the current government in GE15, more universities will follow suit the fuckery of making disabled students further disabled in the footsteps of the super ""alim"" IIUM. #KerajaanGagal","Jul 26, 2022"
@AbdulAz67039163,"With Zahid/Najib or without both of them, BN has to go. We couldn't find any single reason to back BN/PN to power, other than both are #kerajaangagal.","Aug 20, 2022"
@Abdulla64190875,"There are still 59 day to go for spm..
I do nothing,but I plan to start...
The spm is like a key for lighten up my dreams .in 59 days..I will share my progress to you.. insyaallah...if If I have a grammatical error ..please comment ok..
#SPM 
#RakyatJagaRakyat 
#English","Jan 2, 2022"
@AbgDK3,i think the cabinet is so good to bringing them down on GE15..well done pak long..#KerajaanGagal,"Aug 27, 2021"
@AdamFaridOngg,"Malaysia government and education system fucked up big time. Dear leaders, you suck. Thank you. #KerajaanPembunuh #KerajaanGagal #KerajaanGagalLagi","Dec 20, 2021"
@AdeeologyTweets,"HELL NO! @MuhyiddinYassin 
|￣￣￣￣￣￣￣￣￣￣￣￣￣￣|
              #KerajaanGagal
|＿＿＿＿＿＿＿＿＿＿＿＿＿＿|
                     \ (•◡•) / 
                       \      / 
                        ——
                        |     |
                        |_   |_","Aug 28, 2022"
@Adh1007,#KerajaanGagal  clone by PM 9,"Aug 27, 2021"
@Adh1007,#KerajaanGagal ....useless govt,"Jun 24, 2022"
@Adh1007,Cabinet recycle #KerajaanGagal  !!!,"Aug 27, 2021"
@Adh1007,"Cabinet recycle already @IsmailSabri60 , confirm #KerajaanGagal","Aug 27, 2021"
@Adh1007,"Choosing the right candidate for minister @IsmailSabri60 , for efficiency & hard work ! Enough off  #KerajaanGagal","Aug 22, 2021"
@Adh1007,Coward act by @IsmailSabri60 @SPRMMalaysia .....#KerajaanGagal ...corrupted,"Jan 18, 2022"
@Adh1007,Dah confirm #KerajaanGagal X2,"Aug 27, 2021"
@Adh1007,Govt who do nothing ??? Useless #KerajaanGagal,"Oct 1, 2022"
@Adh1007,"Kabinet #KerajaanGagal , get loss PRU 15","Aug 27, 2021"
@Adh1007,PM 9 = PM 8...same from the failure genes !!! Definitely #KerajaanGagal,"Aug 27, 2021"
@Adh1007,PM 9 from Umno....dissapointed #KerajaanGagal,"Aug 27, 2021"
@Adh1007,Rakyat already the result...no need to wait 100 days ! #KerajaanGagal X2,"Aug 27, 2021"
@Adh1007,Recycle #KerajaanGagal ...,"Aug 27, 2021"
@Adh1007,Same #KerajaanGagal ...hopeless already ! Recycle the non performance,"Aug 27, 2021"
