Twitter Username,Post,Date Posted
@AKV9021,"And the alternative was? PN + BN 2.0. More Jana Wibawa, more Musa Aman's charges dropped. Would that be tackling corruption?

Tak nak Zahid, fine. Where's your better alternative after the GE15 hung Parliament? Let's hear it",15h
@AbdulAz67039163,"KJ as reference?
If there is GE to be held now, PN will not win any MP seats in Sgor. 
Pre & Post GE15 proved that PN is not as clean as everyone thought. 
They're seeking power just to continue the self-enrichment program, so-called Jana Wibawa.
We're saved.",Jun 5
@AnneOrtelee,"3:41pm EDT: Moon in Aries semisquare Mercury in Gemini. Choices, perspectives, points of view. Just because you didn't happen to think of it that way before, doesn't mean it's not VALID. Parse out which feedback is potentially useful. 17°Ar15' D 02°Ge15' D",9h
@BellerophonC,"Directly to the state assemblyman, cc'ed to the MP and of course MB. Majlis in charge cannot be trusted at all. GE15 campaigning promises as usual have been discarded like rubbish.",Jun 11
@Capt_Mundy,He's still doesn't get the message from GE15 he's no longer wanted in politics. Now he's trying to cut up society into racial and religious blocks thinking he'll get the big cut. Nyanyok confirmed!,Jun 7
@CrossgateCentre,"If GE24 repeated GE15 & returned 56 SNP MPs it would not advance independence one iota before HR26. So stay at home in GE24 if there's no pro-Indy alternative to vote for, give them a bloody nose, & if they haven't signed up to Scotland United by HR26 replace them with ALBA/ISP.",Jun 8
@CrossgateCentre,So what? They said that after GE15 with 56 of Scotland's 59 MPs SNP.  What the English & their #VichyScot littler helpers would say about SNP WM losses is irrelevant to how pro-Indy Scotland votes in HR26 two years after NuSNP has been delivered a deserved bloody nose in GE24.,Jun 9
@DaHangMuda,"Is it true that you’re the head of the gang of 10 who signed SD to support the PNyamun Mahiaddin post GE15, 
@HishammuddinH2O
? Perhaps go on KJ’s pod and talk about it all, 3 of you.",3h
@DanialAHFMD,"Nah, i was checking them out before and even during ge15. 

They did alot of good work but my gut feeling tells me that they wont last long even in a coalition of parties.",Jun 9
@Dhillon1138,"@BBCYaldaHakim
 your entire interview on Ukraine was in Japanese. Is there a technical difficulty going on?",15h
@Dhillon1138,Although it may be like that affirmative action based on race and diversity in education should be cancelled! It’s only brought shitty things esp in my society. The only one allowed should be income level so poor people are more likely to get help to college,Jun 10
@Dhillon1138,Basically Conservative Islam vs Liberal Islam + Minorities,Jun 6
@Dhillon1138,But still has one of the highest HIV and drug use rates in the country!,17h
@Dhillon1138,Can we please not get more crazy conservatives from South Thailand?? We have enough in Malaysia already,Jun 7
@Dhillon1138,I went on the MRT at quite a low time of about 11:30 and was shocked to see that it was still crowded recently,Jun 8
@Dhillon1138,"Is anyone seeing 
@BBCWorld
 now being broadcast in Japanese instead of English ahhhahaha meme of the year",16h
@Dhillon1138,Malaysia also though Hahahha 2 party system and one crazy right wing,Jun 6
@Dhillon1138,Penang drivers are so slow though and they always use 1.5 lanes,21h
@Dhillon1138,RIP time to have some airconds,Jun 11
@Dhillon1138,So a person whose party literally closed parliament and illegally revoked the emergency is talking about prosedure dan tatacara? How ironic,Jun 6
@Dhillon1138,Some wars are justified but not all. Esp the  Iraq and many of the colonial wars. So it shouldn’t be a main generator of the economy. I mean look at America when they invaded Vietnam and destroyed most of Indochina for basically no reason because they were scared of communism,Jun 5
@Dhillon1138,Tapi traffic gila babi hhahahah. Rather stay somewhere that allows someone to walk to nearby shops and are connected by public transport,Jun 12
@Dhillon1138,The dreaded question. Always trying to get the correct answer Hahahha,Jun 7
@Dhillon1138,The pettiness level 1000. Loving it ,Jun 5
@Dhillon1138,This map is really just so bad that it’s funny hahah. Malaysians NEVER Horn at all like EU and Australia horn more often then us,Jun 5
@Dhillon1138,What? I thought Bangi is PH hahahah,19h
@Dhillon1138,Yeah I feel that the Majlis just paints extra lane lines on certain roads hahahah,21h
@ForABetterMY,"Even in GE15, Dr M was steadfastly against the kleptocrats. Who has changed their stance though? All those times we heard Anwar worked with Najib/Zahid we thought were lies but is true. I bet you fear the ""green wave"". A made up wave.",Jun 8
@ForABetterMY,"I said this v thing about PH before GE15. After Sheraton Move, I saw how PH treated their voters.",Jun 7
@ForABetterMY,"Personally, I wouldn't take DAP's apology to mean much. I took it with a pinch of salt after GE15 because it was so lame. They couldn't apologise beforehand and refused to. 

The slippery slope began then. Principles they stood for? Wiped out. So I wouldn't want their apology.",Jun 8
@ForABetterMY,The slippery slop is like... GE15 was mid-Nov 2022 and how far has PH fallen? BN not so much because they've been in the bog for awhile.,Jun 5
@ForABetterMY,"There was never a need for Dr M to hand over the PM ship like a card. GE15 should happen for Anwar to have had a chance at being PM. But it is true, the Sheraton Move happened but not once did anyone from DAP or PH ask for GE15 immediately. Instead, they allowed piracy to fester",Jun 8
@HM_DaKieng,"@anwaribrahim
 himself must be more direct when confronting Sanusi. Anwar's FB post should be as spicy as Sanusi's posts, much like Rafizi's FB post before GE15.

Now 
@rafiziramli
 pun dah tone down. Bring back the spicy posts!!",Jun 9
@Kh0ngK3kKw4t,"He said ""semua janji"".
He didn't say only the ones in GE15 manifesto.",Jun 4
