Twitter Username,Post,Date Posted
@14zdec3,"russiahas iran,irak, all of -stans ( pakistan) india,mongolia,malaysia.. the whole asia is for russia. not only china. (except japan)","Feb 26, 2022"
@16Lukkk,"Belanjawan Malaysia Madani. 
Just frankly asking, T20, how are you feeling right now? 
I’m concern of you guys mental health ",Feb 24
@21badiuzzaman,Malaysia Madani. Where does the word of Madani comes from? From Arab. I don't see anyone screaming their throat out on this because it is clearly an arabised word. Oh bab Melayu pakai tudung jadi arabisation. Cakap jelah kau benci Islam. Mudah,Jan 25
@4n4lisis,"One of the problems is the lack of ties between Guaidó and the Middle East and Asia. 

Meanwhile, Maduro is dealing with Iran, Qatar, Turkey, Malaysia, and, at the same time, with Saudi Arabia. 

Sanctions are limited to America and Europe, while the oil is moved to Asia.","Dec 7, 2019"
@5M30W,"Anyway since my tweets on dating cost blew up, kerajaan madani should take this opportunity to introduce pakej dating rahmah. Appeal to the masses. Only for the str8s unfortunately since this gomen have self hate issues ",May 31
@5unaidiy,"Regardless kerajaan madani or not, those people who’s involved these such activities must be punished cc @imigresenmy @jpnhqofficial @PDRMsia",Jun 17
@AKV9021,"These ""kursus for Malay/Muslim students only b4 exams"" has been going on in schools since I was in school. Ya know, back when PMX was IN JAIL.

But sure, go off & blame Malaysia Madani. Too scared to say anything when the Dictator was PM, right?",Jan 25
@Aasril_53,Good Morning Malaysia Madani,Jan 24
@AbdFauzi,@fahmi_fadzil @suhaimisulaiman Salam Malaysia Madani feel forced and mouthful. Just stick to salam perpaduan.,Jan 24
@AbdMydin,"As it is , we have people in positions of authority gaming the game to benefit themselves. Just as politicians must declare their assets, OKUs must declare their medical condition to pihak tanggungjawab governed by panelists who qualify
#MalaysiaMADANI",Jun 12
@AbdMydin,"Exactly. That's why we need to push for #MalaysiaMADANI for ALL , not just for SOME",Apr 8
@AbdMydin,"I am confident #HARAPAN and #MalaysiaMADANI will make Malaysia a rich nation once more able to provide the best of the best to our RAKYAT.
#SokongInnovathon",Apr 19
@AbdMydin,I guarantee you @AzalinaOthmanS it will maintain your popularity as part of Kerajaan Perpaduan working towards #MalaysiaMADANI,Apr 7
@AbdMydin,"If i one day win MPship and have the resources, i will do a review of ALL places of worship for the Malaysian on a wheelchair
#MalaysiaMADANI",May 9
@AbdMydin,"Lead the way my MALAYSIA NTD children. Lead the way and vindicate all Malaysian babes born with birth defects so that we can ALL be EQUAL members of our Malaysian society
#HidupMalaysiaNTD
#DemiPertiwi
#DemiMasaDepan
#MalaysiaMADANI
#HARAPAN",Mar 20
@AbdMydin,Obviously the UM JPPHB aren't doing their damn job. Therefore political will is required. And what better time than NOW as we work towards #MalaysiaMADANI,Apr 8
@AbdMydin,"The current Menteri Undang-Undang is part of Kerajaan Perpaduan carrying the mantra #MalaysiaMADANI. I am being very fair. And to correct you if we are being specific about whose jurisdiction @unimalaya @UniversitiMalay is under, it would be MOHE, not MOE",Apr 8
@AbdMydin,"The right doctors and the right physiotherapists are key 
#PatientAdvocacy
#MalaysiaMADANI",Apr 13
@AbdMydin,"We aim to prevent contractures. We aim to make all spina bifidas plantigrade. We are MALAYSIA NTD
#MalaysiaMADANI
#DemiPertiwi
#DemiMasaDepan",Mar 15
@AbdulMu52303682,"He fight against corruption, injustice, racism and bring reform in new Malaysia. Read his new book SCRIPT or MADANI. Remember he and Rafizi bring 1mdb issue in 2010-2011. It is not just about being a PM.","Oct 4, 2022"
@AbdulShahid_96,Kerajaan Madani - Damage Control - Long Term Impact (Summons) - Short Term/Instant Impact (Law Enforcement).,Mar 13
