Twitter Username,Post,Date Posted
@0x74616b6970,"Today losses
-packs of instant noodles
-packs of pen
-a whole stack of A4 paper
-3 books which i didn't finish yet
 -Fahrenheit 451
 -Langkah Sheraton & Dunia Tanpa  Tembok 1 by 
@thepatriotsasia
-my frickin certificates (birth cert,spm,stpm,upsr and more)
-shoes","Oct 4, 2021"
@0x_jaijudin,Percayalah if the current government buat shit like this throughout their term. Another langkah sheraton is gonna happen.,Jan 30
@127_fareez,"at least let be fair. langkah meridien & langkah sheraton both made while country having market instability & covid19 attack. it will not be only one-sided truth. and for some saying economy was good before, then why do we need another kami prihation package?","Sep 24, 2020"
@1337queen,"@BFMradio
 i am no legal expert nor do I want to be a downer but since Langkah Sheraton, I am afraid to celebrate any wins in Malaysia.","Aug 23, 2022"
@1396draws,"remembered back in diploma when i tell my friends that the government might be corrupted they're like ""oh really??? do you have proof for that?? how would you know? no evidence hen i guess its a lie"" and then Langkah Sheraton happened ","Jul 16, 2021"
@1_JaCob,Respect that you are able to stand firm from Langkah Sheraton Temptation during that most critical time. You prove your worthiness ~,"Nov 11, 2022"
@1_JaCob,Tun played one of the biggest role in the success of Langkah Sheraton.,"Mar 5, 2022"
@1an69,langkah sheraton but make it more general as in General Election,"Nov 20, 2022"
@1halfyear,She contributed to the people's suffering by being one of the traitors that made Langkah Sheraton happened. Cut the crap ambiga!,"Feb 13, 2022"
@1mran11,funny we snowballed so hard from just langkah sheraton to our current situation now ,"May 29, 2021"
@41cornellie,"istg if theres another pintu belakang or langkah sheraton after #GE15 i dont kno wht to say. people died, people hv gone through flood, people who drive and fly back to hometown; their vote are just a waste. MAKE IT WORTH IT","Nov 19, 2022"
@7Agnelli,"Politicians. These jokers started w Langkah Sheraton at the onset of the pandemic, continued to flout SOPs throughout & now, 7 months later, still being the biggest hypocrites w double standards. TSMY & his illegal govt should be charged w willful negligence.

#MuhyiddinOut","Oct 7, 2020"
@9M2NBA,"How so? Langkah Sheraton or what i called langkah setan ni. Why? Because the corruption is indeed from it's roots. Kleptocracy at it's finest. The rich getting richer, the poor? Physically & mentally drained.","Jun 29, 2021"
@AKV9021,"1. I'm not new in the party. I joined in April 2018 (3.5 years longer than your candidate) Was working quietly in the grassroots in Pahang till Langkah Sheraton.

2. Sdr Fahmi has a stellar track record in Penang,  as a party man, as a city councillor AND as a student activist.","Apr 29, 2022"
@AMinority1,No HH won't. MY won't. AA won't. ZK won't. Their deep state is working overtime on overthrowing the government. Like Langkah Sheraton.,"Dec 11, 2022"
@ASA68244056,Move on la YB. Dont be a sore looser. Does it ever cross your mind that DYPA has learnt something during Langkah Sheraton?,"Dec 24, 2022"
@AYamin82536342,Langkah Sheraton was an immoral move. It was not above the law. Which part of Akta Lompat Parti that can be exploited to be above the law?,"Oct 12, 2022"
