Twitter Username,Post,Date Posted
@0906nivar,Pls don’t tell Ismail Sabri about this. He’ll accidentally become prime minister again,Apr 20
@1WiseWord,"PM Ismail Sabri, hats off to our officials.","Mar 21, 2022"
@1mran11,Ayo somebody shoot ismail sabri pls,"Jul 8, 2022"
@1negara1,Is Ismail Sabri ready ?,"Sep 10, 2022"
@23Potteh,"it’s under Ismail Sabri administration, better ask him (September)","Dec 9, 2022"
@3da_nash,"I beg to differ - Malaysians voted for PH coz they want #DSAIPM10. Set aside all those slandering n personal attacks - who do u think best to govern our beloved country - DSAI, Mahiaddin, or Ismail Sabri? We’ve seen d latter two n both hv failed miserably. +","Nov 22, 2022"
@3lights1pole,Can you write a tweet congratulating ismail sabri for not being appointed? Just to ruin his weekend for fun.,"Dec 2, 2022"
@3lights1pole,Ismail sabri to set up a task force to set up a taskforce to set up another taskforce,"Nov 18, 2022"
@3lights1pole,Ismail sabri to set up a task force to translate this post to a language he understands,"Nov 18, 2022"
@3lights1pole,Ismail sabri to set up a task force to understand the roast,"Nov 18, 2022"
@3lights1pole,Ismail sabri to set up a taskforce to figure out why he lost tomorrow,"Nov 18, 2022"
@3lights1pole,Ismail sabri to set up task force to figure out why he lost the election,"Nov 19, 2022"
@3lights1pole,Ismail sabri to set up task force to look into floods,"Nov 19, 2022"
@3lights1pole,Ismail sabri to set up task force to set up task force to set up another task force,"Nov 19, 2022"
@3lights1pole,Ismail sabri to set up task force to translate this post to a language he understands,"Nov 19, 2022"
@45Fortify,"Be very careful YB, remember last time SFC. They are seasoned politicians & can put out convincing narrative by giving small ""hints"" by some members. In the end they will be meeting internally and decide whatever benefit them most. Last time Ismail Sabri became the PM. Careful ","Nov 21, 2022"
@491300363,"It's begs the question how deep the actual rot is Malaysia 

When Najib is the most sane choice as PM amongst
> Mahathir > Muhyiddin > Ismail Sabri > Zahid > Hadi Awang","Nov 20, 2022"
@491300363,"Now they complaining about PH's MOU signature. 

Why weren't they complaining about it when PH signed MOU with Ismail Sabri's Govt?","Dec 19, 2022"
@4wepe1,That is true but what im scared that is if and only if the minor factions or sub factions start to grow themselves into a faction which does not align with Zahid or Bosku/Tokmat but instead with Ismail Sabri making a 3 way front which iirc firs in history,"Jun 27, 2022"
@61_garuda,"Msians shd choose a coalition tht commit to catch all those involved in 1MDB to lead the ctry. Rkyt deserved to know the real truth. It’s unthinkable tht only 1 person did it all. 

PH failed. PN failed. Ismail Sabri failed.

All hv failed the ppl’s trust for a just govt.","Aug 29, 2022"
@63Flcm,I wonder whether it was a jab at Ismail Sabri?,"Nov 22, 2022"
@6adamsmith5,hahaha  and they thought Ismail Sabri is their water boy  hahaha,"Aug 21, 2022"
@7HannaLee,Ismail Sabri is the known PM candidate from BN and now we have @Khairykj as the future PM. Ramanan can keep on shouting and sinking himself further with the empty-can politics #NeverAgainPakatanHancing,"Nov 9, 2022"
@8dy9y5pqkz,What was that about? Was that a purported whatsapp screenshot from BossKJ about political survival and pushing Ismail Sabri away? I think I saw that and felt kind of strange even though I support PH.,"Nov 17, 2022"
@ABakarMohd2,Opinion: Why Ismail Sabri Does Not Need To Debate Anwar Ibrahim?,"Oct 28, 2022"
@AKUANAKWATAN," the signed MOU - Ismail Sabri met the Dark Lord for the second time in Japan to finalised the agreement. it has nothing to do with the so called forum.

 the arch nemesis Najib Razak has end up in jail. Zahid Hamidi will be the next victims.","Sep 1, 2022"
@AKUANAKWATAN,"Johari Abdul has been voted as the 🄽🄴🅆 🅂🄿🄴🄰🄺🄴🅁 🄾🄵 🄳🄴🅆🄰🄽 🅁🄰🄺🅈🄰🅃 by winning 147 versus 74 votes
The missing vote was from MP of Mukah from GPS who was unable to reach parliament in time.
Ismail Sabri & Hishammuddin also voted for Anwar's choice of speaker.","Dec 19, 2022"
@AKUANAKWATAN,"now I get it. no wonder #KeluargaMalaysia cybertrooper have posted the 1st anniversary poster of #ismailsabri as the prime minister. the celebration has started. woohoo.

looks like the party grassroots have been played again by their leaders.

well, best of luck UMNO","Aug 20, 2022"
@AKUANAKWATAN,"the worst thing is, the secret agreement was made 𝗼𝗻𝗲 𝗱𝗮𝘆 𝗯𝗲𝗳𝗼𝗿𝗲 #istananegara released the decree.

should Ismail Sabri relinquished all his position in UMNO and BN with immediate effect with this horrendous behaviour, backstabbing his own party?","Nov 23, 2022"
@AKUANAKWATAN,this is what I meant by #ismailsabri and #MahiaddinYassin have 𝗱𝗶𝘀𝗼𝗯𝗲𝘆𝗲𝗱 𝗮𝗻𝗱 𝗱𝗶𝘀𝗿𝗲𝘀𝗽𝗲𝗰𝘁 #YDPA 𝗱𝗲𝗰𝗿𝗲𝗲 𝗼𝗻 𝟭𝟴 𝗔𝘂𝗴𝘂𝘀𝘁 𝟮𝟬𝟮𝟭 where a support letter to the 9th prime minister 𝗠𝗨𝗦𝗧 𝗯𝗲 𝘂𝗻𝗰𝗼𝗻𝗱𝗶𝘁𝗶𝗼𝗻𝗮𝗹.,"Nov 23, 2022"
@AKUANAKWATAN,"while his former mentor #najibrazak is struggling to get the deserved justice in court, Ismail Sabri has shown his true colours by holding secret meeting with few #UMNO leaders to get the support he needed to be the next party president.","Aug 20, 2022"
@AK_arvinkumar,"He can't even handle a press conference,  disregardful behaviour in Parliament, Ismail Sabri appoints this clown as the ambassador. Another national embarrassment!","May 18, 2022"
@APWORG,"Residents have spotted Unidentified drones in Sabri, Ismail Khel, and Mandozai districts and Matoon city of Khost province for the past three days.",Feb 17
@APinkPanda98,Loose coalition is what made Ismail Sabri vulnerable during his time and why katak is even possible.,"Nov 9, 2022"
@ASham22199051,PN offer Ismail Sabri for PM if BN join PN,"Nov 22, 2022"
@AYamin82536342,Why not Ismail Sabri? He got the backing of mkt last remembered. U turn?,"Oct 12, 2022"
@A_Hxrrxz,"Capturing Jho Low could’ve been Ismail Sabri’s Bin Laden moment.

Alas the net had been cast too wide lest he ruffle some feathers he’s not supposed to touch.","Oct 17, 2022"
@A_Hxrrxz,Do we really have to see Ismail Sabri’s stupid face tonight?! I think we’ve all had enough.,"May 1, 2022"
@A_Hxrrxz,"I do believe that Ismail Sabri is very insecure about his premiership.

I mean we can’t really fault him for feeling that way when he knows all too well that a convict is more popular and celebrated than him, the prime minister.","Mar 6, 2022"
@A_Hxrrxz,"Ismail Sabri as the UMNO rebel is definitely not on my 2022 cards.

But don’t worry. This might just be another one of UMNO’s grand sandiwara.","Aug 27, 2022"
@A_Hxrrxz,Please you’ve already put an image of Ismail Sabri doing this in my head. ,"Mar 10, 2022"
@A_Hxrrxz,"This is surely Najib and Zahid’s way of foreshadowing Ismail Sabri’s fate upon BN’s victory in the upcoming GE15.

A cunning master stroke by the kleptocrats. Very well done. #Johor","Mar 15, 2022"
@A_Hxrrxz,‘Ismail Sabri and His Illusion of Grandeur’ would be a nice title for his unauthorised autobiography.,"Sep 28, 2022"
@Aara64982487,"Ismail Sabri is the most tolol PM Malaysia ever had. Not cunning enough to be a politician, not intellegent/Visionary enough to be a Prime Minister.","Oct 11, 2022"
@AbaGengGeng,"At my area, two parties left - Pakatan Harapan and Ismail Sabri's face.","Nov 28, 2022"
@AbdMydin,"Inclusivity my arse. Seriously, have you seen the billboards of Ismail Sabri's Keluarga Malaysia giving out alms to people on wheelchairs. Fyi,  people on wheelchairs pay tax in Malaysia okayyyy. WE ARE NOT BEGGARS
#HidupMalaysiaNTD
#KnowledgeIsPower
#AyuhMalaysia","May 20, 2022"
@Abdillah______,"Ismail Sabri has a middle ground that appeals to me. People must come before politics. Anwar Ibrahim has my support since he doesn't simply scrap measures that benefits people over his political milage. Each one offers wisdom of their own. If they could coexist, that'd be great.",Feb 6
@AbdulAz67039163,Noh Omar can replace Ismail Sabri as PM too. Who care for it? Selangor will remain and always be remained under PH.,"Aug 3, 2022"
