Twitter Username,Post,Date Posted
@1205file,CONGRATS TO ANWAR IBRAHIM FOR BEING MALAYSIA'S 10TH PRIME MINISTER,"Nov 24, 2022"
@13Suria_,MALAYSIA WON. DS Anwar Ibrahim is our PM,"Nov 24, 2022"
@1407_chauhan,Congratulations Dato' Seri @anwaribrahim on your election as the Prime Minister of Malaysia.,"Nov 25, 2022"
@1412_tharsika,"It's time to change everything 
The king is back . 
#pakatanharapan #dsai #AnwarForPM","Nov 24, 2022"
@1711Sjagi,"I think we minority of Indians and Chinese only wants a better Malaysia not a racist and extremists
Country pouring hatreds of words towards us.I think @anwaribrahim and all has done a good job.Let the world decide our fate.
Let's hope for a better future for our children ","Nov 22, 2022"
@1AmyChew,Breaking: Anwar Ibrahim appointed #Malaysia's PM,"Nov 24, 2022"
@1nt3l_N3w5,"#Malaysia
#Afghanistan
The Taliban congratulate Anwar Ibrahim on his election as Prime Minister and say they want to work with the new Malaysian government on a number of commonalities","Nov 27, 2022"
@1rham_1brahim,"Dear retarded feminists and liberals in Malaysia.

I'm so sorry, although I'm supporting Pakatan Harapan PMX @anwaribrahim, I will not endorse and support your feminist and liberals LGHDTV movement here in Malaysia. 

Please respect the majority of Muslims in Malaysia .",Mar 14
@1sabelleLeong,BREAKING AND CONFIRMED: @anwaribrahim has been appointed as Malaysia’s 10th PM.,"Nov 24, 2022"
@21_aisy,"I would like to congratulate @anwaribrahim for becoming Malaysia 10th PM . I hope he will be able to unite all of us and bring Malaysia forward. Salam dari Glasgow ,Scotland . #AnwarIbrahim #PM10malaysia . .","Nov 24, 2022"
@22blueblouse,done with my vote hope @anwaribrahim will become Malaysia’s 10th PM. I dont want to recycle two useless pm #DSAI,"Nov 19, 2022"
@24thcenturydude,"I've managed to make a difference, tahniah @anwaribrahim... Work for us, make a better Malaysia.","Nov 24, 2022"
@3DdR3N,"Goosebumps! Congratulations, Dato Seri @anwaribrahim . The 10th Prime Minister of Malaysia","Nov 24, 2022"
@554491e01a5f470,I dunno why I am so anxious to know the 10th PM of Malaysia. I never followed any policies closely ever and as a foreigners I have no saying in this beautiful country’s politics. Still I want #AnwarIbrahim  to the #10thprimeminister let’s make Malaysia great again.,"Nov 22, 2022"
@6613pakistan,"Malaysia's Anwar Ibrahim was sworn in as prime minister, capping a three-decade political journey from a protege of veteran leader Mahathir Mohamad to protest leader, a prisoner convicted of sodomy and opposition leader.","Nov 24, 2022"
@6adamsmith5,"Sweet ending  looking forward to live life along the much awaited 10th prime minister of Malaysia DS #AnwarIbrahim  post #PRU15 #GE15 

 A man who has been shoved to rock bottom and came out triumphant 

PS: thank you UMNO for being rational demi negara ","Nov 24, 2022"
@6adamsmith5,"The honeymoon time gonna be over soon 

It's an open secret, losers are working around the clock sharpening their political dagger to slay DS Anwar Ibrahim in near future to dethrone him as 10th Prime Minister of Malaysia 

I'm confident DSAI will out smart those fox ","Nov 26, 2022"
@700juta,Congratulation Dato Seri Anwar Ibrahim on your election as the elected Prime Minister of Malaysia. May your leadership bring a prosperous and success to all Malaysian peoples. Tahniah Dato Seri! ,"Nov 25, 2022"
